Date,Asset,Daily Return,Exposure BoP,Exposure EoP,Trade Exposure,Trade Cost,PnL - Daily,PnL,Days in Exposure,Strategy Vol.,stop_trading_sign,Strategy,Strategy Weight,Book Vol,all_strategies_ready,Cumulative_ReturnLibor
2016-10-20,Swap - SCO US Equity,1.0364260459491974,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0087826190110964
2016-10-20,Swap - KOLD US Equity,1.0036190921803034,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0087826190110964
2016-10-20,Swap - ZSL US Equity,1.0163794344138786,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0087826190110964
2016-10-20,Swap - GLL US Equity,1.004089982910109,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0087826190110964
2016-10-20,Swap - GLD US Equity,0.9969209474042671,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0087826190110964
2016-10-20,Swap - GDX US Equity,0.9975640824294182,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0087826190110964
2016-10-20,Swap - PDBC US Equity,0.9915907214962802,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0087826190110964
2016-10-21,Swap - UCO US Equity,1.0123760038631677,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088068830129577
2016-10-21,Swap - SCO US Equity,0.9867538012935666,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088068830129577
2016-10-21,Swap - KOLD US Equity,1.044950270142359,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088068830129577
2016-10-21,Swap - ZSL US Equity,0.9996478032142148,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088068830129577
2016-10-21,Swap - GLL US Equity,0.9991829454851631,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088068830129577
2016-10-21,Swap - GLD US Equity,1.000721333240308,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088068830129577
2016-10-21,Swap - GDX US Equity,0.9923155079120599,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088068830129577
2016-10-21,Swap - PDBC US Equity,1.0050462484033593,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088068830129577
2016-10-24,Swap - UCO US Equity,0.9912271996429896,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088312007493134
2016-10-24,Swap - SCO US Equity,1.0084022702736788,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088312007493134
2016-10-24,Swap - KOLD US Equity,1.015779145666932,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088312007493134
2016-10-24,Swap - ZSL US Equity,0.9937092601645043,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088312007493134
2016-10-24,Swap - GLL US Equity,1.0048540844259102,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088312007493134
2016-10-24,Swap - GLD US Equity,0.9977414046006738,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088312007493134
2016-10-24,Swap - GDX US Equity,0.9784515423701975,0,0,0,0,0,0,0,0.0,False,Comdty | Trend-Following,1.0,0.0,True,1.0088312007493134
